2025-03-31 15:37:46.731 +07:00 [INF] Running in Login Action
2025-03-31 15:42:54.020 +07:00 [INF] admin123 Updated Setting Successfully
2025-03-31 15:42:58.529 +07:00 [INF] admin123 Updated Setting Successfully
2025-03-31 15:43:08.329 +07:00 [INF] admin123 Updated Setting Successfully
2025-03-31 15:43:15.136 +07:00 [INF] admin123 Updated Setting Successfully
2025-03-31 15:43:19.760 +07:00 [INF] admin123 Updated Setting Successfully
2025-03-31 15:43:27.431 +07:00 [INF] admin123 Updated Setting Successfully
2025-03-31 15:43:48.835 +07:00 [INF] admin123 Updated Setting Successfully
2025-03-31 16:07:31.469 +07:00 [INF] admin123 Updated Setting Successfully
2025-03-31 16:08:56.945 +07:00 [ERR] Update Firebase Setting Exception:Object reference not set to an instance of an object.
2025-03-31 16:08:56.968 +07:00 [INF] admin123 Updated Setting Successfully
2025-03-31 16:09:31.732 +07:00 [INF] admin123 Updated Setting Successfully
